y_encoding,marker,transition,first_bin,second_bin,n_sites_first,n_sites_second,n_calls_first,n_calls_second,observed_site_balanced_tv,null_expected_tv_noise_floor,null_noise_ci_low,null_noise_ci_high,noise_floor_subtracted_tv,working_model_true_tv,working_model_expected_plugin_tv,working_model_estimated_bias,parametric_bias_corrected_tv,simulation_draws,assumption
broad_L1,Y,B6 301-650 CE -> B7 651-1000 CE,B6 301-650 CE,B7 651-1000 CE,14,9,23,13,0.636904761904762,0.3508272486772486,0.1607142857142857,0.5787202380952379,0.28607751322751335,0.49350649350649356,0.6139778439153438,0.12047135040885026,0.5164334114959117,10000,"Fixed observed site sample sizes; multinomial sampling; Jeffreys-smoothed individual-count compositions; no extra site heterogeneity. Noise-floor subtraction is a sensitivity, not an unbiased estimator."
broad_L1,Y,B7 651-1000 CE -> B8 1001-1500 CE,B7 651-1000 CE,B8 1001-1500 CE,9,6,13,7,0.638888888888889,0.4129398148148148,0.16666666666666663,0.712962962962963,0.22594907407407416,0.48198757763975153,0.6250712962962962,0.14308371865654468,0.49580517023234427,10000,"Fixed observed site sample sizes; multinomial sampling; Jeffreys-smoothed individual-count compositions; no extra site heterogeneity. Noise-floor subtraction is a sensitivity, not an unbiased estimator."
AADR_ISOGG_prefix_family,mtDNA,B1 3500-2501 BCE -> B2 2500-1801 BCE,B1 3500-2501 BCE,B2 2500-1801 BCE,6,8,20,26,0.6164351851851851,0.4899592824074074,0.27337384259259256,0.7175925925925926,0.12647590277777776,0.20137299771167047,0.5594913194444444,0.3581183217327739,0.2583168634524112,10000,"Fixed observed site sample sizes; multinomial sampling; Jeffreys-smoothed individual-count compositions; no extra site heterogeneity. Noise-floor subtraction is a sensitivity, not an unbiased estimator."
AADR_ISOGG_prefix_family,mtDNA,B2 2500-1801 BCE -> B3 1800-901 BCE,B2 2500-1801 BCE,B3 1800-901 BCE,8,20,26,48,0.34791666666666665,0.4150429166666667,0.24791666666666667,0.6041666666666666,0.0,0.2949852507374632,0.5086,0.21361474926253687,0.13430191740412978,10000,"Fixed observed site sample sizes; multinomial sampling; Jeffreys-smoothed individual-count compositions; no extra site heterogeneity. Noise-floor subtraction is a sensitivity, not an unbiased estimator."
AADR_ISOGG_prefix_family,mtDNA,B3 1800-901 BCE -> B4 900-201 BCE,B3 1800-901 BCE,B4 900-201 BCE,20,35,48,46,0.4678571428571429,0.3232959523809524,0.19940476190476192,0.46667410714285706,0.14456119047619054,0.3419663879191362,0.4594477678571429,0.11748137993800672,0.3503757629191362,10000,"Fixed observed site sample sizes; multinomial sampling; Jeffreys-smoothed individual-count compositions; no extra site heterogeneity. Noise-floor subtraction is a sensitivity, not an unbiased estimator."
AADR_ISOGG_prefix_family,mtDNA,B4 900-201 BCE -> B5 200 BCE-300 CE,B4 900-201 BCE,B5 200 BCE-300 CE,35,17,46,33,0.44957983193277307,0.3543811904761905,0.2151155462184874,0.5098039215686274,0.09519864145658258,0.29114623632143255,0.45622883753501403,0.16508260121358148,0.2844972307191916,10000,"Fixed observed site sample sizes; multinomial sampling; Jeffreys-smoothed individual-count compositions; no extra site heterogeneity. Noise-floor subtraction is a sensitivity, not an unbiased estimator."
AADR_ISOGG_prefix_family,mtDNA,B5 200 BCE-300 CE -> B6 301-650 CE,B5 200 BCE-300 CE,B6 301-650 CE,17,14,33,23,0.6183473389355741,0.4263869397759103,0.259453781512605,0.6099527310924369,0.19196039915966384,0.35991585389175745,0.5531831932773109,0.19326733938555346,0.4250799995500207,10000,"Fixed observed site sample sizes; multinomial sampling; Jeffreys-smoothed individual-count compositions; no extra site heterogeneity. Noise-floor subtraction is a sensitivity, not an unbiased estimator."
AADR_ISOGG_prefix_family,mtDNA,B6 301-650 CE -> B7 651-1000 CE,B6 301-650 CE,B7 651-1000 CE,14,9,23,13,0.6216931216931216,0.5076902777777778,0.30818452380952377,0.7175925925925924,0.11400284391534388,0.38242894056847543,0.6224453703703704,0.24001642980189497,0.38167669189122666,10000,"Fixed observed site sample sizes; multinomial sampling; Jeffreys-smoothed individual-count compositions; no extra site heterogeneity. Noise-floor subtraction is a sensitivity, not an unbiased estimator."
AADR_ISOGG_prefix_family,mtDNA,B7 651-1000 CE -> B8 1001-1500 CE,B7 651-1000 CE,B8 1001-1500 CE,9,6,13,7,0.5,0.598725,0.3333333333333333,0.8611111111111112,0.0,0.2895723930982746,0.6903944444444443,0.4008220513461697,0.09917794865383028,10000,"Fixed observed site sample sizes; multinomial sampling; Jeffreys-smoothed individual-count compositions; no extra site heterogeneity. Noise-floor subtraction is a sensitivity, not an unbiased estimator."
AADR_ISOGG_prefix_family,Y,B1 3500-2501 BCE -> B2 2500-1801 BCE,B1 3500-2501 BCE,B2 2500-1801 BCE,6,8,20,26,0.6608796296296297,0.4781511805555556,0.2655034722222222,0.6942187499999999,0.18272844907407404,0.43149038461538464,0.6189615046296296,0.18747112001424499,0.47340850961538467,10000,"Fixed observed site sample sizes; multinomial sampling; Jeffreys-smoothed individual-count compositions; no extra site heterogeneity. Noise-floor subtraction is a sensitivity, not an unbiased estimator."
AADR_ISOGG_prefix_family,Y,B2 2500-1801 BCE -> B3 1800-901 BCE,B2 2500-1801 BCE,B3 1800-901 BCE,8,20,26,48,0.5208333333333334,0.3364814583333333,0.17291666666666666,0.5375,0.18435187500000005,0.5480324074074074,0.6523122916666667,0.10427988425925927,0.4165534490740741,10000,"Fixed observed site sample sizes; multinomial sampling; Jeffreys-smoothed individual-count compositions; no extra site heterogeneity. Noise-floor subtraction is a sensitivity, not an unbiased estimator."
AADR_ISOGG_prefix_family,Y,B3 1800-901 BCE -> B4 900-201 BCE,B3 1800-901 BCE,B4 900-201 BCE,20,35,48,46,0.2711309523809524,0.21791428571428573,0.11189732142857144,0.35535714285714287,0.05321666666666669,0.21688034188034186,0.29878116071428573,0.08190081883394387,0.18923013354700854,10000,"Fixed observed site sample sizes; multinomial sampling; Jeffreys-smoothed individual-count compositions; no extra site heterogeneity. Noise-floor subtraction is a sensitivity, not an unbiased estimator."
AADR_ISOGG_prefix_family,Y,B4 900-201 BCE -> B5 200 BCE-300 CE,B4 900-201 BCE,B5 200 BCE-300 CE,35,17,46,33,0.44019607843137243,0.2757674509803922,0.14621498599439775,0.4359978991596638,0.16442862745098025,0.4102564102564102,0.5103137535014005,0.10005734324499033,0.3401387351863821,10000,"Fixed observed site sample sizes; multinomial sampling; Jeffreys-smoothed individual-count compositions; no extra site heterogeneity. Noise-floor subtraction is a sensitivity, not an unbiased estimator."
AADR_ISOGG_prefix_family,Y,B5 200 BCE-300 CE -> B6 301-650 CE,B5 200 BCE-300 CE,B6 301-650 CE,17,14,33,23,0.344187675070028,0.33477415966386553,0.17541141456582632,0.5231179971988794,0.009413515406162476,0.3218390804597701,0.4602638655462184,0.1384247850864483,0.20576288998357972,10000,"Fixed observed site sample sizes; multinomial sampling; Jeffreys-smoothed individual-count compositions; no extra site heterogeneity. Noise-floor subtraction is a sensitivity, not an unbiased estimator."
AADR_ISOGG_prefix_family,Y,B6 301-650 CE -> B7 651-1000 CE,B6 301-650 CE,B7 651-1000 CE,14,9,23,13,0.6666666666666666,0.39650787037037033,0.20234788359788358,0.6256613756613757,0.2701587962962963,0.5372050816696914,0.6654109788359789,0.1282058971662875,0.5384607695003791,10000,"Fixed observed site sample sizes; multinomial sampling; Jeffreys-smoothed individual-count compositions; no extra site heterogeneity. Noise-floor subtraction is a sensitivity, not an unbiased estimator."
AADR_ISOGG_prefix_family,Y,B7 651-1000 CE -> B8 1001-1500 CE,B7 651-1000 CE,B8 1001-1500 CE,9,6,13,7,0.6388888888888888,0.4818972222222222,0.2222222222222222,0.7777777777777777,0.15699166666666664,0.44129554655870445,0.6542814814814814,0.2129859349227769,0.42590295396611194,10000,"Fixed observed site sample sizes; multinomial sampling; Jeffreys-smoothed individual-count compositions; no extra site heterogeneity. Noise-floor subtraction is a sensitivity, not an unbiased estimator."
